DHT_TEMP_C,DHT_RH,BME_TEMP_C,BME_RH,Pressure_hPa,RH_ERROR(Target)
28.5,83.7,26.89,84.4,1007.91,-0.7
28.5,83.6,27.03,83.91,1007.93,-0.31
28.4,84.2,27.22,83.02,1007.85,1.18
28.2,84.7,27.24,82.82,1007.89,1.88
28,85.6,27.24,82.85,1007.85,2.75
27.9,86.1,27.22,83.05,1007.86,3.05
27.7,88.3,27.23,83.64,1007.82,4.66
27.8,86.9,27.57,81.69,1007.79,5.21
27.8,86.6,27.56,81.3,1007.77,5.3
27.8,86.7,27.6,81.48,1007.72,5.22
27.8,86.8,27.58,81.43,1007.73,5.37
27.8,86.9,27.55,81.58,1007.73,5.32
27.7,87.1,27.52,81.69,1007.69,5.41
27.7,87.1,27.51,81.84,1007.71,5.26
27.7,87.2,27.51,81.86,1007.73,5.34
27.7,87.2,27.5,81.88,1007.69,5.32
27.7,87.3,27.5,81.91,1007.65,5.39
27.7,87.3,27.5,82.02,1007.7,5.28
27.7,87.5,27.5,82.01,1007.7,5.49
27.7,87.5,27.53,81.81,1007.61,5.69
27.6,87.5,27.51,81.96,1007.6,5.54
27.7,87.4,27.51,82.09,1007.6,5.31
27.7,87.5,27.49,81.97,1007.57,5.53
27.7,87.4,27.46,82.23,1007.54,5.17
27.7,87.5,27.47,82.11,1007.5,5.39
27.6,87.4,27.44,82.28,1007.51,5.12
27.7,87.3,27.46,82.24,1007.46,5.06
27.7,87.5,27.45,82.23,1007.42,5.27
27.6,87.5,27.44,82.24,1007.4,5.26
27.7,87.5,27.42,82.26,1007.4,5.24
27.7,87.5,27.41,82.41,1007.34,5.09
27.6,87.6,27.42,82.32,1007.35,5.28
27.7,87.6,27.44,82.31,1007.32,5.29
27.7,87.7,27.44,82.21,1007.35,5.49
27.6,87.6,27.48,82.22,1007.27,5.38
27.6,87.7,27.49,82.26,1007.29,5.44
27.6,87.9,27.49,82.26,1007.29,5.64
27.6,87.5,27.48,82.2,1007.29,5.3
27.6,87.6,27.47,82.25,1007.27,5.35
27.7,87.7,27.49,82.25,1007.27,5.45
27.6,87.7,27.49,82.24,1007.21,5.46
27.6,87.7,27.49,82.18,1007.25,5.52
27.7,87.7,27.5,82.11,1007.25,5.59
27.7,87.8,27.49,82.17,1007.24,5.63
27.6,87.7,27.48,82.25,1007.25,5.45
27.6,87.6,27.48,82.22,1007.2,5.38
27.7,87.7,27.48,82.22,1007.22,5.48
27.7,87.8,27.5,82.21,1007.27,5.59
27.7,87.6,27.5,82.11,1007.25,5.49
27.6,87.7,27.5,82.11,1007.22,5.59
27.6,87.6,27.51,82.16,1007.21,5.44
27.6,87.6,27.51,82.11,1007.23,5.49
27.6,87.6,27.5,82.04,1007.19,5.56
27.6,87.5,27.5,81.93,1007.19,5.57
27.7,87.7,27.5,82.04,1007.17,5.66
25.2,87.7,24.94,82.88,1007.2,4.82
25.2,87.7,25.07,82.81,1007.25,4.89
25.3,87.6,25.17,82.75,1007.28,4.85
25.4,88.4,25.29,83.06,1007.25,5.34
25.4,88.4,25.36,83.23,1007.23,5.17
25.4,87.7,25.39,82.85,1007.23,4.85
25.5,87.6,25.43,82.77,1007.28,4.83
25.5,87.5,25.46,82.64,1007.28,4.86
25.5,87.2,25.49,82.5,1007.21,4.7
25.5,87.1,25.51,82.35,1007.27,4.75
25.6,87.2,25.53,82.3,1007.25,4.9
25.6,87.1,25.55,82.28,1007.24,4.82
25.6,86.9,25.57,82.24,1007.26,4.66
25.7,86.9,25.6,82.14,1007.28,4.76
25.7,86.9,25.61,82.1,1007.23,4.8
25.7,86.8,25.62,82.02,1007.24,4.78
25.7,86.7,25.64,82,1007.26,4.7
25.7,86.7,25.68,81.89,1007.26,4.81
25.7,86.5,25.69,81.73,1007.25,4.77
25.7,86.5,25.71,81.64,1007.3,4.86
25.8,86.5,25.73,81.54,1007.3,4.96
25.8,86.4,25.73,81.47,1007.26,4.93
25.8,86.3,25.74,81.39,1007.28,4.91
25.8,86.2,25.76,81.37,1007.27,4.83
25.8,86.3,25.76,81.39,1007.28,4.91
25.8,86.2,25.78,81.41,1007.28,4.79
25.9,86.2,25.79,81.41,1007.27,4.79
25.9,86.2,25.81,81.37,1007.27,4.83
25.9,86.2,25.82,81.33,1007.29,4.87
25.9,86.1,25.84,81.28,1007.29,4.82
25.9,86.1,25.86,81.21,1007.29,4.89
25.9,86.1,25.88,81.08,1007.29,5.02
26,85.9,25.89,81.06,1007.29,4.84
